INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,19824,901,849.2643,1.0609,0.8973,1.1106,0.8824,1.1333,2
I00699,R1H,BARTS HEALTH NHS TRUST,159412,3665,4435.8748,0.8262,0.9542,1.0473,0.8963,1.1157,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45837,1290,1416.3893,0.9108,0.9199,1.0849,0.889,1.1248,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,18579,932,885.2849,1.0528,0.8993,1.1083,0.8831,1.1324,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23363,873,884.6667,0.9868,0.8993,1.1083,0.883,1.1324,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,75155,1663,1826.4934,0.9105,0.9293,1.0744,0.8913,1.1219,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38795,1627,1704.5695,0.9545,0.9268,1.0771,0.8908,1.1226,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,76592,1829,1863.9356,0.9813,0.9299,1.0737,0.8915,1.1217,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49234,2032,1990.4979,1.0209,0.9322,1.0712,0.892,1.1211,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,41600,1136,1494.345,0.7602,0.922,1.0825,0.8895,1.1242,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,28430,832,1038.4186,0.8012,0.9068,1.0997,0.8854,1.1295,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38010,988,1099.7856,0.8984,0.9094,1.0967,0.8861,1.1285,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,48752,1222,1377.4399,0.8872,0.9188,1.0861,0.8887,1.1252,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53059,1499,1555.7984,0.9635,0.9235,1.0808,0.8899,1.1237,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30394,1034,988.738,1.0458,0.9046,1.1022,0.8847,1.1304,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,38940,1486,1333.6856,1.1142,0.9175,1.0875,0.8884,1.1256,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63322,2189,1987.579,1.1013,0.9321,1.0713,0.892,1.1211,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,65218,1925,1851.4177,1.0397,0.9297,1.0739,0.8915,1.1218,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,38470,1428,1259.8274,1.1335,0.9152,1.0902,0.8877,1.1264,1
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,30786,1484,1536.3811,0.9659,0.923,1.0814,0.8898,1.1238,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,28277,1067,1008.3049,1.0582,0.9055,1.1012,0.885,1.13,2
I00699,RC3,EALING HOSPITAL NHS TRUST,31112,669,785.2335,0.852,0.8933,1.1153,0.8811,1.1349,3
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,60025,1516,1475.0211,1.0278,0.9215,1.0831,0.8894,1.1243,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,75717,2966,2759.8496,1.0747,0.9422,1.0602,0.8941,1.1184,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,24356,912,895.3394,1.0186,0.8999,1.1076,0.8832,1.1322,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,30268,955,1043.2606,0.9154,0.9071,1.0994,0.8854,1.1294,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",38611,1503,1504.1039,0.9993,0.9222,1.0823,0.8896,1.1241,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,42582,1916,1978.6013,0.9684,0.932,1.0714,0.892,1.1211,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,51615,1465,1590.2496,0.9212,0.9243,1.0799,0.8901,1.1234,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,51667,1448,1384.1741,1.0461,0.919,1.0859,0.8888,1.1251,2
