INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,19795,932,865.4807,1.0769,0.8982,1.1096,0.8842,1.131,2
I00699,R1H,BARTS HEALTH NHS TRUST,160430,3674,4457.5565,0.8242,0.9544,1.0472,0.898,1.1136,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45601,1331,1395.6232,0.9537,0.9193,1.0855,0.8904,1.1231,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,17886,925,898.3698,1.0296,0.9001,1.1075,0.8847,1.1303,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23922,882,924.7723,0.9537,0.9015,1.1058,0.8852,1.1297,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,74587,1664,1814.0242,0.9173,0.929,1.0747,0.8929,1.12,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38942,1632,1700.4083,0.9598,0.9267,1.0772,0.8923,1.1207,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,75588,1798,1838.2612,0.9781,0.9295,1.0742,0.893,1.1198,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49483,1996,1986.1771,1.0049,0.9321,1.0713,0.8936,1.1191,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,41051,1167,1487.697,0.7844,0.9218,1.0827,0.8911,1.1222,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29123,824,1031.4416,0.7989,0.9065,1.1,0.8868,1.1277,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38190,1008,1112.1888,0.9063,0.9099,1.0962,0.8878,1.1264,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,48417,1235,1375.6426,0.8978,0.9187,1.0862,0.8903,1.1233,2
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,52926,1568,1580.7609,0.9919,0.9241,1.0802,0.8917,1.1215,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30412,1038,990.5133,1.0479,0.9047,1.1021,0.8862,1.1284,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,40022,1488,1388.8039,1.0714,0.9191,1.0857,0.8904,1.1231,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63468,2205,2022.051,1.0905,0.9327,1.0706,0.8937,1.1189,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,66779,1975,1931.8028,1.0224,0.9312,1.0723,0.8934,1.1193,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,38796,1474,1266.2948,1.164,0.9154,1.0899,0.8893,1.1244,1
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,30629,1443,1544.0076,0.9346,0.9232,1.0812,0.8914,1.1218,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,28588,1114,1030.4706,1.0811,0.9065,1.1001,0.8867,1.1277,2
I00699,RC3,EALING HOSPITAL NHS TRUST,30838,665,783.6954,0.8485,0.8932,1.1154,0.8825,1.1331,3
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,60639,1551,1500.6665,1.0335,0.9221,1.0824,0.8912,1.1221,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,76510,3004,2884.047,1.0416,0.9434,1.0589,0.896,1.116,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,24351,908,900.1136,1.0088,0.9002,1.1073,0.8848,1.1302,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,30190,990,1056.1912,0.9373,0.9076,1.0988,0.8871,1.1273,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",38613,1518,1533.4161,0.9899,0.9229,1.0815,0.8914,1.1219,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,42892,1930,1979.985,0.9748,0.932,1.0714,0.8936,1.1191,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,51231,1445,1593.614,0.9067,0.9244,1.0799,0.8917,1.1214,2
