INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,19404,975,868.2013,1.123,0.8984,1.1094,0.882,1.1338,2
I00699,R1H,BARTS HEALTH NHS TRUST,160716,3609,4502.634,0.8015,0.9546,1.0469,0.8954,1.1168,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45301,1295,1370.7331,0.9447,0.9186,1.0863,0.8878,1.1263,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,17112,931,918.4555,1.0137,0.9011,1.1062,0.8828,1.1327,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24176,908,956.0347,0.9498,0.903,1.104,0.8834,1.132,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,73064,1692,1833.0393,0.9231,0.9294,1.0743,0.8905,1.123,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38966,1659,1725.0951,0.9617,0.9272,1.0767,0.89,1.1236,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74284,1848,1868.7237,0.9889,0.93,1.0736,0.8907,1.1228,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49320,2077,2035.234,1.0205,0.9329,1.0704,0.8913,1.1219,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,39974,1163,1467.6157,0.7924,0.9213,1.0833,0.8885,1.1255,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29315,806,1046.053,0.7705,0.9072,1.0993,0.8846,1.1304,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38532,1020,1131.9451,0.9011,0.9107,1.0953,0.8857,1.1291,2
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,47520,1308,1404.692,0.9312,0.9196,1.0852,0.8881,1.126,2
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,52468,1620,1626.8122,0.9958,0.9251,1.079,0.8895,1.1242,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29821,1054,983.558,1.0716,0.9044,1.1025,0.8838,1.1315,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,40969,1479,1454.1168,1.0171,0.9209,1.0837,0.8884,1.1256,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63237,2261,2099.0346,1.0772,0.9339,1.0693,0.8915,1.1217,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,67301,2141,2038.2403,1.0504,0.9329,1.0704,0.8913,1.1219,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,37830,1473,1264.7716,1.1646,0.9154,1.09,0.887,1.1274,1
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,30040,1405,1534.7082,0.9155,0.923,1.0814,0.889,1.1249,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,28595,1156,1050.631,1.1003,0.9074,1.0991,0.8847,1.1303,2
I00699,RC3,EALING HOSPITAL NHS TRUST,30234,673,799.1335,0.8422,0.8942,1.1142,0.8806,1.1355,3
I00699,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,60614,1556,1523.7429,1.0212,0.9227,1.0817,0.8889,1.125,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,75989,3080,3011.9743,1.0226,0.9446,1.0576,0.8937,1.1189,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23839,911,902.4538,1.0095,0.9003,1.1072,0.8826,1.1331,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,29340,1032,1065.4878,0.9686,0.908,1.0983,0.8849,1.1301,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",38014,1570,1546.2281,1.0154,0.9233,1.0811,0.889,1.1248,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,42109,1968,1977.507,0.9952,0.9319,1.0715,0.8911,1.1222,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,51345,1499,1624.5344,0.9227,0.9251,1.0791,0.8895,1.1242,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,51195,1500,1435.4061,1.045,0.9204,1.0843,0.8883,1.1257,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,40281,1140,1078.6812,1.0568,0.9085,1.0977,0.885,1.1299,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,50281,1980,1760.6001,1.1246,0.928,1.0759,0.8902,1.1234,1
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,51892,2244,1942.699,1.1551,0.9314,1.0721,0.891,1.1224,1
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,54161,1534,1686.1803,0.9097,0.9264,1.0776,0.8898,1.1238,2
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,48234,2116,2014.5122,1.0504,0.9326,1.0708,0.8912,1.122,2
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,23677,1128,1031.7034,1.0933,0.9065,1.1,0.8845,1.1306,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,67278,2139,2065.0826,1.0358,0.9334,1.0699,0.8914,1.1218,2
I00699,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41675,2062,1778.0901,1.1597,0.9283,1.0755,0.8903,1.1233,1
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",81634,3127,3210.2557,0.9741,0.9463,1.0557,0.894,1.1185,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42546,1387,1339.2294,1.0357,0.9177,1.0874,0.8876,1.1266,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,41716,1489,1330.0971,1.1195,0.9174,1.0877,0.8875,1.1267,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,45870,1745,1644.6197,1.061,0.9255,1.0786,0.8896,1.1241,2
