INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,19628,912,844.0847,1.0805,0.897,1.111,0.8803,1.136,2
I00699,R1H,BARTS HEALTH NHS TRUST,159820,3682,4398.7447,0.8371,0.9541,1.0475,0.8939,1.1187,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45729,1307,1452.9901,0.8995,0.9209,1.0838,0.8871,1.1273,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,18359,940,881.579,1.0663,0.8991,1.1085,0.8809,1.1351,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23016,883,866.0844,1.0195,0.8983,1.1095,0.8807,1.1355,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,74939,1709,1825.2169,0.9363,0.9292,1.0745,0.8891,1.1247,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38415,1609,1683.3907,0.9558,0.9264,1.0776,0.8884,1.1256,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77351,1811,1900.2943,0.953,0.9306,1.0729,0.8894,1.1243,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49172,2087,2018.4703,1.034,0.9326,1.0707,0.8899,1.1238,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,42182,1124,1511.8812,0.7434,0.9224,1.0821,0.8875,1.1268,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,27781,836,1028.3943,0.8129,0.9064,1.1002,0.8831,1.1323,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,37985,976,1092.2318,0.8936,0.9091,1.0971,0.8839,1.1313,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,49008,1211,1403.7966,0.8627,0.9195,1.0853,0.8867,1.1277,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53251,1504,1561.5701,0.9631,0.9236,1.0807,0.8878,1.1264,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30630,1057,996.4723,1.0607,0.905,1.1018,0.8827,1.1329,2
